,Season,Points,Minutes Played,Player,Salary,Adj Salary
0,2003-04,1654,3122,Lebron James,4018920,5345163.600000001
1,2004-05,2175,3388,Lebron James,4320360,5616468.0
2,2005-06,2478,3361,Lebron James,4621800,5823468.0
3,2005-06,400,604,Lebron James,4621800,5823468.0
4,2006-07,2132,3190,Lebron James,5828090,7110269.8
5,2006-07,501,893,Lebron James,5828090,7110269.8
6,2007-08,2250,3027,Lebron James,13041250,15388675.0
7,2007-08,366,552,Lebron James,13041250,15388675.0
8,2008-09,2304,3054,Lebron James,14410581,16428062.339999998
9,2008-09,494,580,Lebron James,14410581,16428062.339999998
10,2009-10,2258,2966,Lebron James,15779912,17989099.68
11,2009-10,320,460,Lebron James,15779912,17989099.68
12,2010-11,2111,3063,Lebron James,14500000,166749.99999999997
13,2010-11,497,922,Lebron James,14500000,166749.99999999997
14,2011-12,1683,2326,Lebron James,16022500,17945200.0
15,2011-12,697,983,Lebron James,16022500,17945200.0
16,2012-13,2036,2877,Lebron James,17545000,19124050.0
17,2012-13,596,960,Lebron James,17545000,19124050.0
18,2013-14,2089,2902,Lebron James,19067500,20592900.0
19,2013-14,548,763,Lebron James,19067500,20592900.0
20,2014-15,1743,2493,Lebron James,20644400,21883064.0
21,2014-15,601,844,Lebron James,20644400,21883064.0
22,2015-16,1920,2709,Lebron James,22971000,24349260.0
23,2015-16,552,822,Lebron James,22971000,24349260.0
24,2016-17,1954,2794,Lebron James,30963450,32511622.5
25,2016-17,591,744,Lebron James,30963450,32511622.5
26,2017-18,2251,3026,Lebron James,33285709,33951423.18
27,2017-18,748,922,Lebron James,33285709,33951423.18
28,1984-85,2313,3144,Michael Jordan,550000,1298000.0
29,1984-85,117,171,Michael Jordan,550000,1298000.0
30,1985-86,408,451,Michael Jordan,630000,1436399.9999999998
31,1985-86,131,135,Michael Jordan,630000,1436399.9999999998
32,1987-88,2868,3311,Michael Jordan,845000,1825200.0000000002
33,1987-88,363,427,Michael Jordan,845000,1825200.0000000002
34,1988-89,2633,3255,Michael Jordan,2000000,4139999.9999999995
35,1988-89,591,718,Michael Jordan,2000000,4139999.9999999995
36,1989-90,2753,3197,Michael Jordan,2500000,4950000.0
37,1989-90,587,674,Michael Jordan,2500000,4950000.0
38,1990-91,2580,3034,Michael Jordan,2500000,4700000.0
39,1990-91,529,689,Michael Jordan,2500000,4700000.0
40,1991-92,2404,3102,Michael Jordan,3250000,5850000.0
41,1991-92,759,920,Michael Jordan,3250000,5850000.0
42,1992-93,2541,3067,Michael Jordan,4000000,7000000.0
43,1992-93,666,783,Michael Jordan,4000000,7000000.0
44,1994-95,457,668,Michael Jordan,3850000,6352500.0
45,1994-95,315,420,Michael Jordan,3850000,6352500.0
46,1995-96,2491,3090,Michael Jordan,3850000,6198500.0
47,1995-96,552,733,Michael Jordan,3850000,6198500.0
48,1996-97,2431,3106,Michael Jordan,30140000,47018400.0
49,1996-97,590,804,Michael Jordan,30140000,47018400.0
50,1997-98,2357,3181,Michael Jordan,33140000,50704200.0
51,1997-98,680,872,Michael Jordan,33140000,50704200.0
52,2001-02,1375,2093,Michael Jordan,1000000,1380000.0
53,2002-03,1640,3031,Michael Jordan,1030000,1400800.0
54,1996-97,539,1103,Kobe Bryant,1015000,1583400.0
55,1996-97,74,133,Kobe Bryant,1015000,1583400.0
56,1997-98,1220,2056,Kobe Bryant,1167240,1785877.2
57,1997-98,96,220,Kobe Bryant,1167240,1785877.2
58,1998-99,996,1896,Kobe Bryant,1319000,1978500.0
59,1998-99,158,315,Kobe Bryant,1319000,1978500.0
60,1999-00,1485,2524,Kobe Bryant,9000000,13230000.0
61,1999-00,465,857,Kobe Bryant,9000000,13230000.0
62,2000-01,1938,2783,Kobe Bryant,10130000,14384600.0
63,2000-01,471,694,Kobe Bryant,10130000,14384600.0
64,2001-02,2019,3063,Kobe Bryant,11250000,15524999.999999998
65,2001-02,506,833,Kobe Bryant,11250000,15524999.999999998
66,2002-03,2461,3401,Kobe Bryant,12375000,16830000.0
67,2002-03,385,531,Kobe Bryant,12375000,16830000.0
68,2003-04,1557,2447,Kobe Bryant,13500000,17955000.0
69,2003-04,539,973,Kobe Bryant,13500000,17955000.0
70,2004-05,1819,2689,Kobe Bryant,14175000,18427500.0
71,2005-06,2832,3277,Kobe Bryant,15946875,20093062.5
72,2005-06,195,314,Kobe Bryant,15946875,20093062.5
73,2006-07,2430,3140,Kobe Bryant,17718750,21616875.0
74,2006-07,164,215,Kobe Bryant,17718750,21616875.0
75,2007-08,2323,3192,Kobe Bryant,19490625,22998937.5
76,2007-08,633,863,Kobe Bryant,19490625,22998937.5
77,2008-09,2201,2960,Kobe Bryant,21262500,24239249.999999996
78,2008-09,695,940,Kobe Bryant,21262500,24239249.999999996
79,2009-10,1970,2835,Kobe Bryant,23034375,26259187.499999996
80,2009-10,671,923,Kobe Bryant,23034375,26259187.499999996
81,2010-11,2078,2779,Kobe Bryant,24806250,285271.87499999994
82,2010-11,228,354,Kobe Bryant,24806250,285271.87499999994
83,2011-12,1616,2232,Kobe Bryant,25244493,28273832.160000004
84,2011-12,360,476,Kobe Bryant,25244493,28273832.160000004
85,2012-13,2133,3013,Kobe Bryant,27849149,30355572.410000004
86,2013-14,83,177,Kobe Bryant,30453805,32890109.400000002
87,2014-15,782,1207,Kobe Bryant,23500000,24910000.0
88,2015-16,1161,1863,Kobe Bryant,25000000,26500000.0
